#{"t_start": 1735016675.688494, "env_id": "Walker2d-v5"}
r,l,t
-6.619282,10,0.339017
12.361476,26,0.342652
4.335238,31,0.347465
11.032565,25,0.35106
-1.032496,14,0.427518
5.761886,19,0.49858
2.894822,29,0.607144
-1.276695,26,0.702237
9.748003,36,0.839547
7.985724,27,0.935441
-0.14298,31,1.044195
7.836923,31,1.153966
-5.43658,14,1.20631
2.255926,14,1.256178
6.542572,17,1.316872
4.643199,43,1.468153
-5.319795,57,1.672949
-0.938892,56,1.868646
8.671346,93,2.210887
-10.349866,57,2.408513
-1.929231,24,2.495979
-4.219664,22,2.574215
-0.045203,53,2.769892
12.276577,60,2.980151
-6.79891,100,3.33316
-29.71462,97,3.669329
35.415972,102,4.026529
18.3936,111,4.413449
-38.564491,107,4.792944
-13.275108,109,5.171272
1.749709,95,5.500723
-14.878517,84,5.793343
-1.279359,132,6.261827
95.433448,265,7.218049
108.994707,257,8.130242
275.198028,148,8.674785
187.99196,365,10.017863
315.927504,222,10.807074
64.188378,187,11.461537
376.218566,258,12.359932
89.522127,242,13.219072
246.966788,153,13.752261
341.663955,247,14.613283
78.887221,263,15.526579
538.905386,460,17.211231
413.459517,258,18.184685
56.995415,177,18.858323
241.1748,320,20.040085
409.305332,274,21.066129
481.039289,289,22.140689
85.424254,173,22.774238
445.490357,279,23.823037
378.436256,179,24.486296
332.708039,180,25.140702
210.042386,317,26.334969
436.604229,305,27.507757
414.246151,222,28.361909
344.033358,190,29.109211
401.592186,256,30.146482
298.947401,157,30.748947
448.250304,293,31.829167
472.303193,289,32.954065
206.606563,109,33.348695
488.333091,305,34.46035
316.540075,195,35.181639
126.810305,212,35.958333
343.121654,193,36.6715
502.910335,261,37.699528
846.671949,647,40.150904
234.077997,159,40.761886
369.093899,200,41.547383
306.356106,470,43.363308
334.035374,194,44.101546
515.825836,319,45.289134
421.967721,239,46.190246
376.952475,220,46.994488
269.358856,176,47.67365
522.069872,312,48.838025
333.408914,271,49.848313
438.930752,218,50.651371
295.321615,154,51.220686
592.79964,430,52.792347
307.681149,169,53.411745
377.986015,188,54.103007
315.521481,190,54.80443
220.805405,146,55.346022
155.849454,443,57.01105
136.913725,354,58.358169
191.276518,137,58.878787
459.113166,214,59.684186
404.877334,243,60.647849
370.987625,188,61.378333
563.30524,268,62.371431
427.677361,238,63.24988
443.425348,238,64.123215
169.997721,281,65.148403
517.036902,209,65.911501
384.747477,235,66.76714
491.116135,241,67.645902
520.475262,246,68.569585
519.871526,245,69.465202
510.314889,231,70.308943
354.566867,183,70.975197
985.991898,1000,74.651663
363.68988,219,75.455112
231.809788,137,75.957134
474.983338,219,76.756636
346.030251,197,77.475422
337.241958,219,78.311839
368.723688,180,78.973625
493.673332,258,79.931014
272.870456,135,80.423624
432.68348,237,81.293669
305.448941,160,81.877067
348.395631,171,82.503301
632.959877,322,83.709807
169.888766,104,84.099644
482.38942,274,85.127819
323.75753,171,85.768263
269.152652,159,86.360839
406.1207,260,87.331371
309.044595,154,87.917213
379.923465,225,88.775924
405.438344,193,89.490962
339.154728,186,90.184958
421.059695,250,91.116665
407.398668,246,92.03187
473.953042,227,92.889195
259.164291,140,93.414066
403.742088,255,94.363361
451.122313,259,95.327848
341.269064,169,95.955075
305.185092,179,96.623262
381.137116,201,97.369942
336.933607,169,98.004449
